,FolderName,MolFileName,CompoundId,CompundFormula,Inchi,InchiKey,CIDSmiles,Isomericsmiles,URL
0,_C06804_1.13.11.5,_C06804_1.13.11.5_product_1.mol,,,,,,,
1,_C06804_2.5.1.39,_C06804_2.5.1.39_product_1.mol,,,,,,,
2,_C06804_2.5.1.39,_C06804_2.5.1.39_product_2.mol,,,,,,,
3,_C06804_2.5.1.39,_C06804_2.5.1.39_product_4.mol,,,,,,,
4,_C06804_2.5.1.39,_C06804_2.5.1.39_product_3.mol,,,,,,,
5,_C06804_1.10.3.1,_C06804_1.10.3.1_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
6,_C06804_1.10.3.1,_C06804_1.10.3.1_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
7,_C06804_1.21.3.5,_C06804_1.21.3.5_product_1.mol,,,,,,,
8,_C06804_1.3.1.79,_C06804_1.3.1.79_product_1.mol,,,,,,,
9,_C06804_2.1.1.150,_C06804_2.1.1.150_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
10,_C06804_2.4.1.237,_C06804_2.4.1.237_product_1.mol,22174376,C14H19NO7,"InChI=1S/C14H19NO7/c1-7(17)15-8-2-4-9(5-3-8)21-14-13(20)12(19)11(18)10(6-16)22-14/h2-5,10-14,16,18-20H,6H2,1H3,(H,15,17)",DCCJHZKQNIFNNA-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/22174376
11,_C06804_2.7.7.42,_C06804_2.7.7.42_product_1.mol,,,,,,,
12,_C06804_2.1.1.25,_C06804_2.1.1.25_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
13,_C06804_2.1.1.82,_C06804_2.1.1.82_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
14,_C06804_1.3.1.57,_C06804_1.3.1.57_product_1.mol,,,,,,,
15,_C06804_2.1.1.212,_C06804_2.1.1.212_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
